intervalo,estimativa,resposavel,subtarefas,atrasado
8,0,116,0,0
0,0,138,0,1
0,0,138,0,1
7,0,162,0,1
7,0,162,0,1
0,0,140,0,0
7,0,162,0,1
7,0,162,0,1
7,0,0,0,1
7,0,162,1,1
0,0,138,0,1
0,0,138,0,1
11,0,0,0,0
11,0,15,2,1
2,0,140,0,0
4,0,116,0,1
11,2,169,0,0
11,5,169,5,0
11,5,169,3,1
4,0,162,0,1
4,0,159,0,1
11,8,118,0,1
11,2,128,0,1
11,5,128,0,1
11,5,128,0,1
11,0,0,0,0
11,0,0,0,0
53,8,128,0,1
4,0,116,0,0
4,0,134,0,0
0,0,138,0,1
0,0,138,0,1
0,0,140,0,0
0,0,140,0,0
3,0,134,0,0
3,0,0,0,1
0,0,140,0,0
23,0,138,0,1
30,0,140,0,0
14,0,140,0,0
44,0,140,0,0
21,0,138,0,1
9,0,138,0,1
19,0,138,0,1
5,0,138,0,1
30,0,138,0,0
20,0,140,0,0
15,0,138,0,0
27,0,138,0,1
2,0,134,0,0
2,0,162,22,1
13,0,140,0,0
15,0,140,0,0
2,0,134,0,0
0,0,138,0,1
0,0,138,0,1
8,0,15,2,0
1,0,159,0,1
14,0,140,0,0
21,0,140,0,0
7,0,140,0,0
8,0,140,0,0
1,0,162,1,1
0,0,138,0,1
7,0,169,4,1
7,0,15,0,1
7,0,15,0,1
0,0,134,0,0
0,0,162,0,1
0,0,0,0,1
0,0,134,0,1
0,0,140,0,0
11,0,0,0,0
11,16,0,0,1
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
0,16,0,0,1
11,5,116,0,0
11,2,0,0,0
0,0,138,0,0
10,0,0,4,1
3,0,128,0,0
2,0,140,0,0
0,0,138,0,0
0,0,138,0,0
0,0,0,0,1
0,0,0,0,1
0,0,138,0,1
0,0,138,0,1
7,0,0,0,0
7,0,134,0,1
7,0,134,0,0
0,0,169,0,1
7,0,134,0,1
2,0,140,0,0
4,0,140,0,0
0,0,138,0,1
11,5,15,0,0
11,3,0,0,0
11,5,159,0,0
11,2,159,0,0
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
11,3,0,0,0
11,3,0,0,0
25,8,118,4,0
11,3,15,0,0
10,0,169,0,0
10,0,15,0,0
10,0,169,0,0
10,0,169,0,0
10,3,128,0,1
10,8,118,0,1
10,2,118,0,1
0,0,140,0,0
9,2,128,0,0
9,3,0,0,0
9,3,128,0,1
9,2,128,0,1
9,0,169,3,0
0,0,138,0,1
1,0,134,0,1
8,0,159,0,0
0,0,138,0,1
7,0,128,0,0
0,0,116,0,0
0,0,138,0,1
-3,0,134,0,1
4,0,15,0,0
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
4,0,118,10,1
11,5,134,0,1
11,5,134,0,1
11,8,0,0,1
11,8,159,0,1
11,5,159,0,1
0,0,138,0,1
0,0,138,0,1
1,0,140,0,0
0,0,138,0,1
0,0,0,0,0
2,0,128,0,0
9,0,134,0,1
2,0,128,0,0
0,0,138,0,1
0,0,138,0,1
1,0,169,0,1
1,0,127,0,1
1,0,169,3,1
1,0,118,2,1
15,16,0,0,1
15,8,0,0,1
0,0,0,0,1
1,0,0,0,0
0,0,138,0,1
0,0,118,0,1
7,0,140,0,0
0,0,0,0,0
0,16,0,0,1
11,5,169,0,1
11,3,0,0,0
11,3,169,0,0
-3,3,128,0,1
11,16,118,7,1
10,0,112,0,1
12,0,112,0,1
2,6,119,0,0
11,16,10,0,1
25,16,0,0,1
25,8,0,0,1
25,0,0,0,1
11,24,127,0,1
13,2,120,0,1
13,8,134,7,0
10,0,125,0,1
13,16,116,0,1
13,16,15,0,1
13,16,116,0,1
64,0,21,0,1
64,0,21,0,1
64,0,21,0,1
64,0,21,0,1
64,0,21,0,1
11,0,15,6,0
10,0,134,0,0
10,0,15,0,0
10,0,15,0,0
0,0,138,0,0
0,0,138,0,0
21,0,17,0,0
21,0,0,0,1
