intervalo,estimativa,Minutos,atrasado
11,3,139,1
8,0,60,1
8,0,139,0
2,0,420,1
3,0,60,1
24,5,245,1
11,8,450,1
11,5,324,0
1,0,240,1
29,0,840,0
8,0,95,1
11,16,591,0
11,16,949,1
11,3,285,0
11,0,847,1
3,0,30,0
2,0,120,1
4,0,220,1
10,0,373,0
9,10,795,1
11,16,574,1
2,0,20,0
7,8,270,1
11,5,257,0
7,16,717,1
4,0,40,0
11,8,780,1
11,0,905,1
11,8,64,0
7,0,90,1
11,8,885,0
2,0,69,0
8,0,130,0
10,0,489,0
10,2,110,0
11,5,119,0
11,0,16,1
2,0,580,1
25,5,175,1
2,0,177,1
25,16,630,1
14,16,1741,1
0,0,199,0
3,0,180,0
0,0,195,1
77,12,1593,0
10,0,24,0
3,0,525,1
1,0,60,1
9,0,58,1
0,0,339,1
3,0,110,0
8,0,110,0
11,5,285,0
7,0,10,1
13,16,1331,1
10,0,107,0
14,5,290,1
0,0,469,1
11,16,1070,1
10,0,90,0
10,0,60,0
228,16,1230,0
4,0,150,1
1,0,102,1
0,0,189,1
0,0,122,1
11,16,429,1
11,2,205,0
1,0,20,1
4,0,30,1
11,5,240,0
11,5,360,1
11,0,90,1
11,8,625,1
3,0,39,1
0,0,120,1
10,0,360,0
11,2,110,0
2,0,130,0
9,0,74,1
12,0,34,0
8,0,30,0
0,0,339,1
14,3,180,1
1,0,103,0
9,0,60,0
1,0,619,1
11,0,110,0
11,8,630,1
11,3,229,0
10,0,32,0
7,0,151,1
9,16,486,1
10,0,60,0
11,24,1297,0
8,0,670,0
2,0,90,0
11,8,390,1
1,0,769,1
1,6,229,1
2,0,60,1
3,0,425,1
10,16,360,1
11,5,210,1
3,0,60,0
4,0,435,0
9,0,94,0
3,0,57,0
14,16,960,1
14,5,420,1
1,0,120,1
11,2,30,0
5,0,420,0
4,0,60,0
0,16,585,1
11,5,120,0
10,0,111,0
15,5,150,0
9,0,60,0
22,5,240,1
14,3,30,1
11,3,580,1
14,16,1059,0
32,16,645,0
11,5,565,1
9,5,540,1
11,2,90,0
0,0,559,1
3,0,120,0
8,0,73,0
11,2,112,0
16,8,720,1
11,0,180,0
2,0,58,0
13,16,641,1
10,0,11,0
25,0,870,0
4,0,150,1
10,0,180,0
15,8,139,1
4,0,30,0
11,8,380,1
11,5,420,1
11,2,140,0
11,0,180,1
11,2,69,1
2,0,80,1
25,5,390,0
14,0,40,0
10,0,10,0
11,8,181,1
0,0,130,0
11,8,550,1
0,0,60,0
2,0,71,1
14,2,30,0
9,0,150,0
11,5,300,1
0,0,34,1
7,3,270,0
11,8,360,1
11,8,460,1
10,0,480,0
9,0,60,1
1,0,225,1
39,8,405,0
11,3,810,0
16,0,2634,1
25,3,252,1
11,2,10,0
4,0,114,1
11,2,99,0
9,0,131,1
11,3,105,1
1,0,135,1
8,0,105,0
0,16,930,1
15,0,1199,0
0,0,324,1
9,0,240,0
1,0,175,1
67,16,644,1
4,0,60,0
11,8,350,1
7,0,34,0
1,0,40,1
91,5,249,0
10,0,390,0
11,5,300,1
11,5,300,0
1,0,602,1
32,8,360,1
8,0,60,0
0,0,139,1
8,0,240,0
7,0,95,0
10,0,130,0
0,0,120,1
1,0,69,1
0,0,1461,1
11,5,959,1
29,8,634,0
15,16,275,1
6,0,475,1
0,0,15,1
7,0,40,0
0,0,360,1
15,5,120,0
11,0,250,0
9,0,150,0
4,0,30,0
11,16,1129,1
11,2,45,0
11,5,270,1
12,5,305,0
8,0,75,0
21,0,544,1
11,0,32,0
11,16,930,1
25,5,169,0
4,0,69,1
3,0,470,0
11,5,114,0
10,0,90,0
1,0,350,1
11,2,50,1
15,4,180,0
11,5,300,0
4,0,40,1
8,0,69,0
0,0,132,1
11,5,110,1
11,2,119,0
7,0,45,0
11,8,420,1
9,8,450,1
11,5,300,1
10,2,80,0
3,0,630,1
11,0,335,0
8,3,135,1
14,8,420,1
19,0,90,0
2,0,23,0
11,8,570,0
1,0,30,1
11,3,1270,1
0,0,17,1
2,0,211,1
2,0,43,0
36,8,703,1
39,8,300,1
9,5,420,0
0,0,390,1
11,5,645,1
12,3,55,0
11,8,850,1
0,0,194,1
16,0,150,0
10,0,170,0
4,0,124,0
0,0,459,1
11,2,69,1
15,3,180,1
35,0,537,0
0,0,180,1
0,0,270,1
0,0,180,1
3,0,90,0
11,8,760,1
11,0,244,1
0,16,640,1
11,0,1791,1
25,0,799,0
7,0,60,0
36,8,532,1
17,2,120,1
19,0,1140,1
4,8,240,1
8,0,940,1
8,0,60,0
11,3,180,1
1,0,30,1
8,0,60,0
0,0,438,1
1,0,84,1
10,8,610,1
9,8,385,1
2,0,67,0
0,0,2,1
11,2,210,1
4,0,120,0
7,0,60,0
11,16,30,1
12,0,240,0
12,2,15,0
3,2,120,1
2,0,150,0
10,8,300,1
8,0,160,0
11,8,249,0
14,0,30,0
10,0,5,0
0,0,316,0
16,0,299,1
15,5,120,1
37,5,330,0
10,0,30,0
11,16,531,1
9,8,634,1
25,0,75,1
10,5,465,1
4,16,1440,1
11,2,180,0
11,16,1365,0
7,0,310,1
16,5,180,1
11,16,949,1
1,0,180,1
3,0,10,1
7,0,1020,0
11,0,349,1
1,0,420,1
11,0,1009,1
11,8,1872,1
7,8,40,1
3,0,183,1
0,0,195,1
10,0,120,0
11,8,600,1
11,0,1447,1
4,0,369,0
3,0,49,0
10,0,30,0
26,0,1404,1
6,0,24,1
0,0,10,1
11,2,144,1
0,0,242,0
11,2,30,1
13,5,405,0
8,0,230,0
1,0,423,1
13,0,300,0
7,0,77,1
10,2,51,0
2,0,150,1
22,5,150,0
17,0,135,0
0,0,180,1
11,5,225,1
4,0,169,1
21,16,335,1
32,16,240,1
14,5,163,1
8,0,41,0
0,8,244,1
6,16,504,1
29,2,120,0
14,2,30,0
11,8,480,0
0,3,99,1
1,8,2044,1
11,2,15,0
11,8,1100,0
10,0,239,0
11,0,617,0
10,0,90,0
11,16,964,1
4,0,1080,1
25,0,1035,1
2,0,520,0
14,5,180,1
11,16,960,1
0,0,145,1
11,8,220,0
11,8,319,1
14,0,682,1
0,0,390,1
0,0,51,1
4,0,174,0
11,2,120,0
11,0,199,0
21,16,300,0
10,0,30,0
4,0,300,0
53,8,60,1
4,0,249,0
11,8,508,1
2,0,99,1
1,0,15,1
11,0,124,1
11,2,30,1
7,0,60,1
11,8,570,1
10,0,110,0
25,0,1245,1
1,0,120,0
11,2,60,1
0,16,300,1
4,0,300,1
25,8,1275,0
6,0,150,0
24,0,930,1
8,0,176,0
1,0,150,1
289,8,874,0
7,0,180,0
13,5,20,1
10,0,45,0
16,5,135,0
11,5,300,1
17,3,220,1
7,16,900,1
4,0,2339,1
4,0,505,1
11,8,510,0
11,3,240,1
4,0,103,0
8,0,145,0
10,8,299,0
11,5,40,1
11,0,690,0
0,16,792,1
0,8,369,1
0,0,343,1
4,0,156,1
3,0,210,0
8,0,30,0
8,0,40,0
3,0,512,0
11,16,868,0
15,2,30,0
8,0,210,0
25,0,150,1
7,0,45,0
11,16,737,1
11,8,489,0
95,16,720,1
14,8,249,0
7,0,233,0
0,1,30,0
11,5,256,1
1,0,75,0
3,8,529,1
0,16,552,1
1,0,165,1
2,0,90,1
28,2,120,1
0,0,189,1
3,0,60,0
11,5,180,0
2,0,40,0
11,3,180,1
10,0,358,0
10,5,459,1
151,5,300,0
11,0,90,0
0,0,60,1
8,0,60,0
10,0,549,1
0,0,90,0
7,0,30,0
10,5,300,0
23,5,300,0
10,0,60,0
6,0,90,0
9,3,264,1
11,5,322,1
11,5,437,0
11,5,724,1
9,0,120,0
25,8,685,1
4,0,350,0
8,0,124,0
11,16,439,1
8,0,49,0
10,8,630,1
9,5,653,1
3,0,30,0
7,0,30,1
0,0,174,1
10,0,2131,1
13,8,165,0
9,0,493,1
11,3,47,1
8,0,10,0
2,0,90,1
11,16,2084,1
7,0,45,1
11,8,240,1
13,5,30,0
0,0,298,1
2,0,60,1
11,5,300,1
11,2,51,1
8,16,249,1
4,0,524,1
0,0,126,1
4,0,60,1
13,0,3019,1
12,5,258,1
8,0,30,0
13,0,63,0
11,3,240,1
11,2,150,1
4,0,30,0
11,2,249,0
9,0,180,0
1,0,195,0
14,8,368,1
11,5,648,1
11,16,1410,1
10,8,474,0
11,8,435,1
10,24,660,1
4,0,495,1
0,0,485,1
14,2,60,0
1,0,5,0
0,0,1361,1
11,2,45,1
11,0,1724,1
3,0,24,0
14,0,1725,1
0,0,270,1
10,0,459,0
3,0,360,0
7,0,120,1
7,0,120,1
3,0,98,0
11,3,30,1
2,0,99,1
39,8,345,0
11,16,1440,1
10,0,365,1
4,0,1224,1
11,16,275,1
1,0,600,1
4,0,24,0
3,0,236,1
7,0,274,0
11,5,249,1
4,0,720,0
10,0,204,0
11,2,120,0
10,0,480,0
7,0,300,1
0,0,170,1
4,0,30,0
10,0,80,0
0,0,281,1
11,5,184,1
9,0,175,0
0,0,56,1
9,0,1678,1
11,1,25,0
1,0,110,1
3,0,480,1
11,3,158,0
1,0,34,0
9,0,229,0
11,2,120,1
4,0,40,1
16,2,120,0
36,5,452,1
8,0,180,0
4,0,45,1
19,0,929,0
11,3,135,0
25,8,769,1
0,0,820,1
0,0,71,1
11,8,45,1
3,0,51,0
11,2,196,0
1,0,80,1
3,0,360,0
7,0,358,0
10,0,180,0
11,5,346,0
15,3,30,0
18,19,918,1
0,6,169,1
0,4,110,1
11,16,960,1
7,0,270,1
2,0,120,0
25,16,2120,1
1,0,220,1
11,16,510,0
8,0,40,1
14,2,120,1
9,0,102,0
1,0,30,1
3,32,1742,0
11,3,80,1
11,24,2710,1
8,0,210,0
11,8,489,1
11,16,960,0
0,0,996,1
11,8,330,1
0,0,15,0
2,0,447,1
3,0,420,0
9,0,71,0
9,2,60,0
11,2,120,1
5,0,526,1
11,0,247,0
11,2,60,0
11,3,110,1
13,5,195,1
14,2,40,1
2,0,95,1
11,5,540,1
0,16,710,1
15,8,300,0
0,0,30,1
13,5,294,1
1,0,365,1
10,2,20,0
11,5,210,1
11,8,985,0
0,0,429,1
13,16,810,0
3,0,90,0
4,2,30,0
10,0,24,0
8,0,15,0
11,3,211,0
9,5,221,1
9,0,10,0
0,0,388,1
8,0,133,1
11,5,165,0
11,24,510,1
0,16,488,1
10,0,174,0
11,2,30,0
3,0,330,0
7,0,570,0
10,0,45,0
11,5,780,1
9,0,80,1
7,0,300,0
7,0,61,0
11,8,300,0
11,3,139,0
14,5,190,1
15,8,180,0
11,0,120,0
1,0,60,0
20,2,40,0
8,0,210,0
0,0,60,1
0,0,30,1
4,0,465,1
21,0,929,0
9,5,420,0
10,0,260,0
3,0,180,0
0,16,473,1
9,3,60,0
21,3,150,0
4,0,180,1
15,8,90,0
8,0,55,0
9,0,60,0
2,0,49,0
11,8,320,0
3,0,30,0
11,8,349,0
2,0,60,1
11,8,1174,1
10,8,300,1
11,8,369,1
0,0,345,1
10,2,14,0
0,0,90,1
10,2,60,1
3,0,5,0
11,3,110,1
8,0,139,0
25,8,975,1
0,0,75,1
7,0,60,0
4,8,630,1
1,0,5,0
11,3,180,0
11,8,752,1
14,2,220,0
12,3,93,0
6,0,160,1
9,0,99,0
10,0,40,0
10,0,225,0
1,0,490,0
8,0,979,1
2,0,915,1
4,0,28,0
11,5,159,0
4,0,30,0
4,0,75,0
1,0,384,1
11,3,140,0
2,0,120,0
10,0,60,0
25,0,300,0
10,0,30,0
5,0,150,0
11,8,320,0
0,0,120,1
0,0,617,1
7,0,458,1
3,0,180,0
9,0,240,1
11,16,925,1
3,0,1380,1
11,0,1630,1
9,0,596,0
17,5,404,1
3,4,199,1
11,2,24,0
1,0,9,1
11,5,210,1
10,8,737,1
2,0,1090,1
9,0,110,0
11,8,915,1
4,0,750,0
28,8,514,1
0,0,75,1
10,0,9,0
2,0,135,0
9,0,120,0
13,2,15,0
7,0,40,0
10,0,20,0
4,0,65,0
11,0,480,0
137,8,1275,1
11,16,1104,1
8,0,10,0
25,8,960,1
11,16,909,0
0,16,2275,1
11,0,1684,1
39,0,120,0
0,0,46,1
9,0,75,0
3,0,10,0
11,8,40,1
11,16,870,1
4,0,837,1
45,8,444,0
4,0,60,0
15,0,520,0
0,0,30,1
11,2,120,1
4,16,1299,1
20,2,305,1
9,0,660,0
2,0,214,1
1,0,139,0
14,8,1270,1
12,2,30,0
2,0,60,1
8,0,91,1
0,0,195,1
11,3,180,0
8,0,90,0
11,3,180,1
7,0,515,0
4,0,109,0
0,0,84,1
13,0,386,1
11,16,2002,1
11,16,2002,1
14,2,30,0
1,0,199,1
0,0,525,1
15,3,60,0
6,0,73,1
10,0,20,0
1,0,75,0
11,5,607,0
1,0,784,1
11,3,405,0
4,0,84,1
4,0,10,1
4,0,1118,1
109,8,434,1
9,0,710,0
2,6,330,0
7,0,174,1
11,8,619,1
11,5,805,0
7,0,120,1
60,2,60,1
2,0,47,0
11,16,912,1
1,0,300,1
18,8,484,1
10,0,114,0
8,0,20,0
11,16,946,1
8,0,40,1
11,3,180,1
11,0,60,0
11,2,270,1
7,0,480,1
3,16,960,0
8,24,1449,0
3,0,1320,1
0,0,1021,1
2,0,61,1
9,0,365,0
10,0,82,0
0,0,306,1
13,16,901,1
4,0,60,0
10,0,7,0
10,0,120,0
1,0,450,1
11,0,150,0
7,0,240,0
10,8,124,1
4,0,40,0
14,0,124,0
4,0,480,1
11,3,180,0
11,16,919,0
11,16,2759,1
1,0,60,0
25,5,1461,1
3,0,459,0
11,5,249,0
11,0,540,1
0,0,180,1
0,0,15,1
0,0,110,1
8,0,257,0
11,5,934,1
9,0,504,0
316,4,339,0
2,0,20,1
12,3,120,1
4,0,30,0
11,24,1430,1
0,0,229,1
11,5,124,0
56,16,178,0
7,0,77,0
11,5,300,1
11,3,320,1
25,16,1013,1
11,5,157,1
1,0,235,1
11,2,60,0
16,3,270,1
11,0,354,1
11,5,360,1
11,0,45,1
9,16,660,0
16,0,135,1
13,8,381,1
8,0,120,1
0,16,610,1
8,8,660,1
0,0,159,1
3,0,1950,0
13,8,780,1
8,0,24,0
8,0,60,0
4,0,20,0
8,0,180,0
9,0,213,0
12,5,810,1
11,5,1250,1
4,0,205,0
4,0,49,0
0,0,28970,1
22,16,865,1
0,0,730,1
15,3,160,0
1,0,17,0
7,0,24,1
12,0,150,0
114,1,300,0
11,0,90,0
25,16,1625,1
23,8,465,1
10,0,40,0
4,0,290,0
3,0,40,0
10,0,120,0
28,0,420,0
0,0,21,0
17,0,2235,1
0,0,154,1
10,0,25,0
9,0,60,0
9,8,520,1
9,0,60,1
23,0,1070,1
11,8,399,1
11,2,99,0
25,0,1169,1
8,0,390,1
4,0,1650,1
11,5,174,0
9,0,130,0
11,3,180,1
53,24,1230,1
11,2,30,0
10,16,255,1
11,8,570,1
0,16,775,1
8,0,34,0
0,0,4,1
14,5,240,1
11,8,126,1
0,0,120,1
1,0,60,0
11,2,91,1
11,5,300,1
4,0,30,0
7,0,60,0
6,0,30,1
8,0,30,0
7,0,75,0
1,0,15,1
11,8,480,1
161,0,240,0
11,16,960,1
3,0,240,0
4,0,414,1
14,5,240,1
11,5,952,1
8,8,540,1
1,0,24,1
0,0,45,1
9,0,30,0
9,8,2614,1
11,3,20,1
9,0,642,0
11,0,23,0
17,8,734,1
3,0,45,0
11,3,240,0
2,0,233,0
13,2,60,0
22,0,702,0
16,8,456,1
11,5,260,1
7,0,15,0
0,0,23,1
9,0,24,0
6,0,60,1
13,2,105,0
2,0,60,0
11,0,90,0
-2,0,75,1
8,0,470,1
85,0,16,0
4,0,395,1
22,24,679,1
4,0,60,1
10,0,40,0
7,0,49,0
9,0,21,0
8,0,550,0
25,0,839,0
11,3,110,1
11,3,294,0
10,0,130,0
9,0,139,0
25,16,270,1
25,2,99,1
39,5,360,1
10,0,15,0
0,16,2120,1
0,0,60,0
1,0,120,0
11,8,535,1
11,3,151,0
12,8,210,0
11,2,49,0
3,0,61,1
16,3,60,0
2,0,124,0
8,0,53,1
10,0,53,1
11,3,150,1
4,0,277,1
23,16,1084,1
11,8,633,0
17,2,60,1
2,0,60,1
3,8,465,1
11,3,247,1
11,3,279,1
10,5,120,1
11,5,229,0
2,0,23,0
1,0,60,0
2,0,350,1
11,3,354,1
4,0,60,1
11,3,45,0
3,0,24,0
0,3,180,1
9,8,369,1
0,0,65,1
11,3,95,1
10,8,384,1
4,0,655,0
5,18,460,0
11,3,180,1
5,0,120,1
0,0,360,1
0,0,270,1
0,0,120,1
10,0,23,0
8,0,470,0
7,0,60,1
8,0,20,0
8,0,330,1
9,0,1590,1
2,0,150,0
25,2,30,1
11,5,498,1
2,0,99,0
0,0,75,0
11,2,5,1
2,0,30,0
9,0,120,0
11,0,3474,1
20,4,262,0
0,0,120,0
18,0,655,1
2,0,270,1
1,0,24,0
1,0,30,1
9,0,69,0
1,0,20,0
4,0,120,0
0,0,435,1
8,0,20,0
0,0,18,1
4,0,1845,1
10,0,120,0
11,3,60,0
11,5,775,0
11,16,1689,1
11,5,107,1
20,4,236,0
4,0,49,1
4,0,723,0
0,0,90,1
7,3,150,1
11,8,874,1
3,5,484,1
11,5,195,1
7,0,19,1
9,24,1439,0
28,8,540,1
7,0,1163,0
1,0,30,0
11,8,1049,1
10,0,1942,1
8,0,869,1
10,16,847,0
3,0,55,1
