intervalo,estimativa,resposavel,subtarefas,atrasado
16,2,1,0,0
11,8,1,0,0
11,2,1,0,0
11,5,1,0,0
25,2,1,0,1
11,0,1,0,0
11,0,1,0,0
11,0,1,0,1
11,2,1,0,0
11,2,1,0,0
25,2,1,0,1
10,0,1,0,0
19,0,1,0,1
17,16,1,0,1
17,3,1,0,1
17,3,1,0,1
17,2,1,0,1
17,3,1,0,1
17,2,1,0,1
2,0,1,0,0
2,0,1,0,1
6,16,1,0,1
14,3,1,0,1
28,2,1,0,1
11,0,1,0,1
11,2,1,0,1
11,5,1,0,1
11,16,1,0,1
11,2,1,0,1
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
3,0,1,0,1
0,0,1,0,1
44,5,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
11,0,1,0,0
11,16,1,0,0
11,8,1,0,1
11,8,1,0,1
11,8,1,0,0
11,0,1,0,0
11,0,1,0,0
11,5,1,2,0
11,0,1,5,1
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
9,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
4,0,1,0,0
2,0,1,0,0
30,8,1,0,1
16,3,1,0,1
14,16,1,0,1
14,8,1,0,1
20,4,1,0,0
11,3,1,3,1
11,16,1,0,1
11,0,1,0,0
11,0,1,8,1
11,2,1,0,0
11,8,1,0,1
10,0,1,0,0
10,0,1,0,0
8,0,1,0,1
22,8,1,0,1
3,0,1,0,1
16,2,1,0,1
29,2,1,0,0
15,16,1,0,0
15,8,1,0,0
15,3,1,0,1
11,8,1,0,1
11,2,1,0,0
25,3,1,0,1
11,5,1,0,1
52,0,1,0,1
52,8,1,0,1
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
8,0,1,0,0
8,0,1,0,0
8,16,1,0,1
4,0,1,0,1
4,0,1,0,1
1,0,1,0,0
0,0,1,0,1
14,8,1,0,0
20,4,1,0,0
39,8,1,2,1
39,5,1,0,1
10,0,1,0,0
8,3,1,0,1
7,0,1,0,1
16,8,1,0,0
16,2,1,0,1
2,0,1,0,1
1,0,1,0,1
15,2,1,0,0
15,2,1,0,1
15,2,1,0,0
0,0,1,0,1
0,0,1,0,0
11,3,1,0,0
11,3,1,0,1
11,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,1
9,0,1,0,1
13,0,1,0,0
9,0,1,0,1
8,0,1,0,0
22,16,1,0,1
7,0,1,0,1
7,0,1,0,1
7,0,1,0,1
7,0,1,0,1
4,0,1,0,1
4,0,1,0,1
1,0,1,0,1
11,5,1,0,1
11,8,1,0,1
25,5,1,0,1
8,3,1,0,0
8,0,1,0,0
7,0,1,0,0
4,0,1,0,0
4,0,1,0,0
1,0,1,0,1
1,0,1,0,1
3,0,1,0,0
3,0,1,0,0
16,8,1,0,1
2,0,1,0,0
6,0,1,0,1
2,0,1,0,0
1,0,1,4,1
1,0,1,5,1
1,0,1,0,0
1,0,1,4,1
11,8,1,0,1
11,3,1,0,1
11,5,1,8,1
11,16,1,4,1
11,8,1,0,1
11,16,1,0,1
11,16,1,0,1
11,16,1,0,1
25,8,1,1,1
25,16,1,0,1
25,5,1,1,1
46,16,1,0,1
46,24,1,4,1
0,0,1,0,0
22,0,1,0,0
7,0,1,0,0
67,5,1,0,1
53,24,1,0,1
67,5,1,0,1
39,24,1,0,0
67,16,1,0,1
39,5,1,0,1
95,8,1,0,1
109,5,1,2,1
39,16,1,1,1
95,16,1,4,1
67,16,1,1,1
109,16,1,15,1
137,16,1,0,1
67,5,1,0,1
95,5,1,0,1
67,8,1,0,1
35,8,1,0,1
16,0,1,0,1
11,8,1,0,1
8,0,1,0,1
21,1,1,0,1
7,0,1,0,1
7,0,1,0,1
4,2,1,0,1
3,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
17,2,1,0,1
26,0,1,0,1
18,16,1,0,1
18,3,1,2,1
32,16,1,0,1
32,16,1,0,1
18,8,1,0,1
18,16,1,0,1
18,16,1,0,1
17,0,1,0,0
17,0,1,0,0
9,0,1,0,1
16,0,1,0,1
16,0,1,0,1
16,16,1,0,1
15,0,1,0,1
19,0,1,0,1
8,0,1,0,1
8,0,1,0,1
34,0,1,0,0
22,0,1,0,0
21,0,1,0,0
21,0,1,0,1
10,16,1,0,1
9,8,1,0,1
10,8,1,0,1
10,2,1,0,1
21,0,1,0,1
3,0,1,0,1
2,0,1,0,0
2,0,1,0,0
165,0,1,0,1
2,0,1,0,1
12,0,1,0,1
8,0,1,0,1
8,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
53,3,1,0,0
0,0,1,2,1
25,16,1,0,0
25,8,1,0,0
3,0,1,0,1
0,0,1,0,1
20,4,1,0,0
0,4,1,0,1
0,0,1,0,1
5,0,1,0,1
5,0,1,0,1
0,0,1,0,1
0,0,1,0,1
10,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,16,1,0,1
0,0,1,0,1
0,1,1,0,1
81,0,1,0,0
65,0,1,0,0
65,0,1,0,0
65,0,1,0,0
65,0,1,0,0
42,0,1,0,1
95,52,1,0,1
101,0,1,0,1
148,5,1,0,0
142,1,1,0,0
114,0,1,0,0
1,10,1,0,0
30,3,1,0,0
25,4,1,0,0
25,16,1,0,1
74,16,1,0,0
24,20,1,0,0
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
36,12,1,0,1
36,10,1,0,1
0,16,1,0,1
36,8,1,0,1
2,0,1,0,0
36,3,1,0,1
3,0,1,0,1
35,0,1,0,1
7,0,1,3,1
10,24,1,0,1
31,13,1,0,1
31,16,1,0,1
45,8,1,0,0
31,2,1,0,0
31,17,1,0,1
43,2,1,0,0
21,39,1,0,1
18,19,1,0,1
18,4,1,0,1
17,2,1,0,1
17,0,1,0,1
8,2,1,0,0
36,8,1,0,1
6,0,1,0,1
15,8,1,0,0
15,4,1,0,0
15,5,1,0,0
15,4,1,0,0
15,4,1,0,0
1,0,1,0,0
15,4,1,0,0
11,13,1,0,0
11,16,1,0,0
25,4,1,0,0
11,4,1,0,0
11,16,1,0,0
11,0,1,0,0
9,0,1,0,0
8,0,1,0,0
0,0,1,0,1
4,0,1,0,0
59,0,1,0,1
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
1,0,1,0,0
1,0,1,0,0
1,0,1,0,0
11,5,1,0,0
11,16,1,0,1
11,5,1,0,0
11,8,1,0,0
11,3,1,0,0
10,0,1,0,0
37,24,1,0,1
22,8,1,0,0
22,5,1,0,0
7,0,1,0,0
21,3,1,0,0
4,0,1,0,0
3,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
1,0,1,0,0
11,16,1,0,0
11,0,1,0,0
4,0,1,0,0
10,0,1,0,0
10,0,1,0,0
10,0,1,0,0
9,0,1,0,0
22,5,1,0,0
3,0,1,0,0
3,0,1,0,0
3,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
2,0,1,0,0
11,5,1,0,0
11,5,1,0,0
39,8,1,0,0
10,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
9,0,1,0,0
10,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
