intervalo,estimativa,Minutos,atrasado
42,8,365,0
8,0,10,0
0,0,150,1
11,5,405,1
11,5,290,1
22,8,974,1
12,0,20,0
7,0,203,0
15,16,1295,1
1,0,255,0
3,0,210,1
3,0,150,1
4,0,34,0
9,0,90,0
11,3,345,0
4,0,55,0
10,16,2276,1
25,16,739,1
0,0,414,1
4,0,30,0
3,0,139,1
8,0,470,1
10,2,120,0
0,0,335,1
3,0,480,1
11,16,993,1
2,0,180,0
2,0,30,0
1,0,114,1
1,0,45,0
1,0,99,1
4,0,45,0
2,8,459,1
3,0,1061,0
11,16,1013,0
67,4,240,0
13,0,675,0
12,5,146,0
10,3,160,0
4,0,60,0
9,16,2170,1
11,16,645,0
2,0,93,0
10,0,90,0
0,0,145,1
12,0,262,1
9,3,150,1
15,4,270,0
10,2,120,0
11,3,180,0
36,5,180,1
4,0,601,0
11,3,180,0
6,0,120,0
4,0,660,1
17,8,480,0
23,5,300,0
11,5,699,0
4,0,180,0
28,0,1089,0
4,0,30,1
15,5,1539,1
11,0,75,0
0,0,110,1
11,2,120,0
9,0,65,0
11,24,1892,1
9,0,45,0
8,0,130,0
11,0,180,0
46,8,1050,1
10,0,5,0
9,0,1144,0
10,8,782,1
17,2,120,1
6,8,640,1
10,0,51,0
4,0,49,0
4,0,2,0
31,2,120,0
39,16,1832,1
11,5,270,1
4,0,210,1
11,3,661,1
4,0,365,1
11,5,45,1
3,0,40,1
4,0,135,0
4,0,99,0
13,16,829,1
11,2,49,0
11,8,480,1
11,0,718,1
38,5,390,1
15,0,120,1
11,16,960,0
0,8,570,1
11,3,150,1
7,0,61,0
17,2,30,0
8,0,720,0
4,0,40,0
10,2,15,1
11,0,935,1
11,0,409,1
11,16,635,1
4,0,360,1
10,3,255,0
11,24,3389,1
9,8,1270,1
45,0,5,0
24,5,368,1
0,0,139,1
6,0,835,1
14,2,90,1
13,8,210,1
11,3,114,1
4,0,294,0
10,0,69,0
11,5,300,0
0,8,360,1
4,0,120,0
8,0,90,0
8,16,990,1
0,0,65,1
11,0,602,1
0,0,488,1
0,16,572,1
1,0,870,1
1,0,120,1
11,8,775,1
4,0,20,1
10,0,10,0
4,0,4012,0
2,0,320,1
14,2,60,1
