id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
22156,240,8,1,0,0,8,0
22166,216,0,1,0,0,4,0
22169,216,0,0,0,0,11,0
22174,216,0,1,0,0,2,1
22176,216,0,1,0,0,9,0
22178,216,3,1,3,0,4,0
22184,480,0,1,0,0,8,1
22186,192,0,1,0,0,2,0
22191,192,8,1,0,0,6,0
22197,168,0,1,0,0,18,1
22220,168,0,0,0,0,1,0
22221,168,0,0,0,0,5,0
22227,96,0,1,0,0,3,0
22228,96,0,0,0,0,1,0
22229,96,0,1,0,0,1,0
22232,96,0,1,0,0,2,0
22233,96,0,1,0,0,1,0
22234,96,0,1,0,0,2,0
22246,96,0,1,0,0,2,0
22247,96,0,1,0,1,17,0
22250,96,0,1,0,0,2,0
22251,96,0,1,0,0,5,0
22253,96,0,1,0,1,4,1
22258,72,0,1,0,0,1,1
22260,72,0,1,0,0,2,1
22261,72,0,1,0,1,2,0
22263,72,0,0,0,1,3,1
22264,72,0,1,0,0,1,0
22265,72,0,0,0,1,3,0
22267,72,0,0,0,1,3,0
22284,408,8,1,0,0,4,1
22285,72,0,1,0,1,2,0
22300,336,0,0,0,0,14,0
22301,336,0,0,0,0,7,0
22302,48,0,1,0,0,9,0
22304,336,0,1,0,0,3,1
22305,336,0,1,0,0,3,1
22306,336,0,1,0,0,4,1
22322,24,0,1,0,0,3,0
22324,24,0,0,0,0,2,1
22326,24,0,1,0,0,11,1
22330,24,0,1,0,0,1,1
22331,24,0,1,0,0,3,1
22333,24,0,1,0,0,4,1
22357,672,8,1,0,0,1,1
22365,264,3,0,0,1,4,1
22367,264,5,1,0,1,7,1
22368,264,2,1,0,0,3,1
22372,264,5,1,0,0,5,1
22373,264,16,1,0,0,16,1
22374,216,8,1,0,0,8,1
22375,216,8,1,0,0,8,1
22377,216,8,1,0,0,8,1
22382,264,8,0,0,0,9,1
22383,264,5,0,0,0,3,0
22385,264,0,1,0,0,9,1
22387,264,0,0,0,0,24,0
22404,264,3,1,0,0,5,0
22405,264,8,1,0,0,8,1
22407,264,3,1,0,0,3,0
22408,264,8,1,0,0,12,1
