id,intervalo,estimativa,responsavel,totalsub,urgente,alta,tempoGasto,classe,Melhoria/Funcionalidade,Defeito,Tarefa,Defeito do Cliente,Cash,Task,Planejado,Não Planejado,Mobile,Backend,high,frontend,Planejada,Não Planejada,Outros
6863,5760,600,0,0,0,0,510,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7805,1440,60,9.333333333333334,0,0,0,35,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7817,51840,180,8.666666666666666,0,0,0,270,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7824,50400,0,9.333333333333334,0,0,0,1235,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7830,20160,300,8.666666666666666,0,0,0,870,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7847,15840,0,8.666666666666666,0,0,0,520,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7848,15840,300,8.666666666666666,0,0,0,120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7855,14400,1440,8.666666666666666,0,0,0,660,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7856,44640,780,9.333333333333334,0,0,0,285,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7857,44640,960,9.333333333333334,0,0,0,540,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7858,64800,480,9.333333333333334,0,0,0,444,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7859,44640,120,9.333333333333334,0,0,0,120,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7865,44640,1020,8.666666666666666,0,0,0,1890,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7866,105120,1440,8.666666666666666,0,0,0,960,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7898,61920,240,8.666666666666666,0,0,0,60,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
7899,61920,120,8.666666666666666,0,0,0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
7916,30240,2340,6.333333333333333,0,0,0,518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7917,10080,180,9.333333333333334,0,0,0,150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7981,25920,1140,9.333333333333334,0,0,0,918,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7982,25920,240,8.666666666666666,0,0,0,210,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7990,24480,120,9.333333333333334,0,0,0,25,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7998,23040,0,9.333333333333334,0,0,0,60,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8034,15840,0,9.333333333333334,0,0,0,300,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8041,34560,960,8.666666666666666,1,0,0,840,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8056,11520,120,9.333333333333334,0,0,0,80,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8058,51840,480,9.333333333333334,0,0,0,703,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8084,21600,480,9.333333333333334,0,0,0,180,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8400,12960,0,8.666666666666666,0,0,0,150,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8402,12960,0,8.666666666666666,0,0,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8409,31680,300,7.333333333333333,0,0,0,300,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8417,10080,0,8.666666666666666,0,0,0,60,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
8432,4320,0,8.666666666666666,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8433,4320,0,8.666666666666666,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8434,4320,0,8.666666666666666,0,0,0,120,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8440,2880,0,8.666666666666666,0,0,0,30,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8441,2880,0,7.333333333333333,0,0,0,14,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8442,2880,0,8.666666666666666,0,0,0,150,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8443,2880,0,7.333333333333333,0,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8449,2880,0,6.0,0,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8452,2880,0,9.333333333333334,0,0,0,60,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8474,15840,960,8.666666666666666,0,0,0,960,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8475,15840,300,9.333333333333334,0,0,0,200,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8476,15840,300,8.666666666666666,0,0,0,300,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8482,56160,480,7.0,0,0,0,345,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8491,12960,180,9.333333333333334,0,0,0,120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8499,12960,0,7.333333333333333,0,0,0,120,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8500,12960,0,6.0,0,0,0,300,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8501,12960,0,6.0,0,0,0,507,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8502,12960,0,7.333333333333333,0,0,0,175,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8510,11520,2400,6.0,0,0,0,2273,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
